service,hour,day_of_week,is_weekend,queue_length,counters_open,wait_minutes
General Enquiry,15,4,0,29,2,63.15
Document Verification,15,5,1,16,4,29.18
Document Verification,14,2,0,14,4,19.14
Customer Support,16,1,0,21,3,58.2
Document Verification,16,5,1,5,1,32.64
Customer Support,15,2,0,13,4,22.36
Account Services,10,4,0,38,2,169.55
Document Verification,15,0,0,42,2,118.28
Bill Payment,15,4,0,1,1,4.08
Account Services,15,1,0,20,4,34.49
Account Services,15,4,0,28,2,114.32
General Enquiry,14,5,1,25,2,50.0
Customer Support,16,0,0,17,1,125.18
General Enquiry,14,3,0,25,4,23.23
Bill Payment,9,0,0,40,1,139.39
Customer Support,10,3,0,25,3,59.43
Document Verification,12,6,1,33,1,210.82
Account Services,11,5,1,34,4,60.37
General Enquiry,9,3,0,14,4,15.03
Account Services,10,3,0,49,4,102.49
General Enquiry,14,0,0,27,3,36.29
General Enquiry,11,4,0,18,1,80.16
Customer Support,14,3,0,4,2,9.81
Account Services,16,0,0,33,1,271.01
Account Services,13,5,1,33,2,111.1
Bill Payment,16,0,0,33,4,28.02
General Enquiry,11,1,0,30,3,46.56
Customer Support,11,1,0,14,1,104.76
Customer Support,11,1,0,17,4,33.53
General Enquiry,10,3,0,60,1,258.18
Customer Support,17,1,0,18,4,33.64
Account Services,12,6,1,13,1,92.0
General Enquiry,10,0,0,15,4,19.02
General Enquiry,10,1,0,65,2,116.1
Customer Support,9,1,0,37,1,253.75
Customer Support,15,5,1,29,3,75.08
Customer Support,10,3,0,30,1,208.36
Account Services,14,2,0,48,4,96.87
General Enquiry,14,5,1,25,1,106.91
General Enquiry,17,5,1,47,4,41.99
Bill Payment,16,1,0,26,4,23.77
Document Verification,14,2,0,24,2,79.71
Bill Payment,13,3,0,39,1,122.91
Customer Support,9,3,0,45,3,91.02
Customer Support,17,4,0,9,1,50.1
Document Verification,9,1,0,32,1,188.3
Customer Support,11,6,1,41,3,87.41
Customer Support,11,1,0,16,1,105.62
Customer Support,13,6,1,7,1,44.45
Customer Support,16,5,1,55,4,101.1
